index,gm_code,municipality,gender,age_group,education,vote_2030
41,GM0158    ,Haaksbergen,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
42,GM0402    ,Hilversum,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
43,GM0034    ,Almere,male,35-45,Basisonderwijs,PVV
44,GM0632    ,Woerden,female,55-65,"Havo, vwo, mbo2-4",CDA
45,GM0851    ,Steenbergen,female,15-25,"Havo, vwo, mbo2-4",D66
46,GM1930    ,Nissewaard,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
47,GM0153    ,Enschede,female,15-25,"Havo, vwo, mbo2-4",Did not vote
48,GM0928    ,Kerkrade,male,55-65,"Hbo-, wo-bachelor",VVD
49,GM0599    ,Rotterdam,male,45-55,Basisonderwijs,PVV
50,GM1991    ,Maashorst,male,35-45,"Havo, vwo, mbo2-4",BBB
51,GM0758    ,Breda,male,55-65,"Hbo-, wo-bachelor",CDA
52,GM0202    ,Arnhem,male,25-35,"Hbo-, wo-bachelor",D66
53,GM0867    ,Waalwijk,male,25-35,"Hbo-, wo-bachelor",VVD
54,GM0537    ,Katwijk,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
55,GM0668    ,West Maas en Waal,female,35-45,Basisonderwijs,BBB
56,GM0392    ,Haarlem,male,35-45,Basisonderwijs,PVV
57,GM0301    ,Zutphen,male,65-75,"Hbo-, wo-master, doctor",CDA
58,GM0363    ,Amsterdam,male,45-55,"Havo, vwo, mbo2-4",D66
59,GM0758    ,Breda,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
60,GM0840    ,Rucphen,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
61,GM0230    ,Elburg,female,35-45,Basisonderwijs,Did not vote
62,GM0363    ,Amsterdam,male,55-65,"Havo, vwo, mbo2-4",VVD
63,GM1525    ,Teylingen,female,25-35,"Hbo-, wo-master, doctor",D66
64,GM0983    ,Venlo,male,45-55,"Hbo-, wo-master, doctor",D66
65,GM0392    ,Haarlem,female,35-45,"Hbo-, wo-master, doctor",D66
66,GM0014    ,Groningen (gemeente),male,25-35,"Hbo-, wo-bachelor",D66
67,GM0441    ,Schagen,male,35-45,"Havo, vwo, mbo2-4",VVD
68,GM0758    ,Breda,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
69,GM0228    ,Ede,female,15-25,Basisonderwijs,Did not vote
70,GM0153    ,Enschede,male,55-65,"Havo, vwo, mbo2-4",VVD
71,GM0118    ,Hoogeveen,female,25-35,"Hbo-, wo-bachelor",D66
72,GM0228    ,Ede,male,25-35,"Havo, vwo, mbo2-4",VVD
73,GM0513    ,Gouda,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
74,GM0383    ,Castricum,male,25-35,"Hbo-, wo-bachelor",D66
75,GM0513    ,Gouda,male,65-75,Basisonderwijs,CDA
76,GM0034    ,Almere,female,45-55,"Hbo-, wo-bachelor",D66
77,GM1709    ,Moerdijk,male,15-25,Basisonderwijs,Did not vote
78,GM0479    ,Zaanstad,male,15-25,"Havo, vwo, mbo2-4",D66
79,GM0512    ,Gorinchem,male,45-55,"Havo, vwo, mbo2-4",CDA
80,GM0344    ,Utrecht (gemeente),female,25-35,"Hbo-, wo-master, doctor",D66
81,GM0275    ,Rheden,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
82,GM0163    ,Hellendoorn,male,15-25,"Havo, vwo, mbo2-4",BBB
83,GM0518    ,'s-Gravenhage (gemeente),female,55-65,"Hbo-, wo-master, doctor",D66
84,GM1926    ,Pijnacker-Nootdorp,male,55-65,"Havo, vwo, mbo2-4",VVD
85,GM0363    ,Amsterdam,male,25-35,"Hbo-, wo-bachelor",D66
86,GM1970    ,Noardeast-Fryslân,male,55-65,"Havo, vwo, mbo2-4",BBB
87,GM0175    ,Ommen,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
88,GM0363    ,Amsterdam,female,45-55,"Hbo-, wo-bachelor",GL-PvdA
89,GM0736    ,De Ronde Venen,female,65-75,"Hbo-, wo-bachelor",CDA
90,GM1735    ,Hof van Twente,male,45-55,"Hbo-, wo-bachelor",BBB
91,GM0479    ,Zaanstad,female,65-75,"Hbo-, wo-bachelor",50PLUS
92,GM1942    ,Gooise Meren,male,35-45,"Havo, vwo, mbo2-4",VVD
93,GM0503    ,Delft,male,55-65,"Hbo-, wo-master, doctor",D66
94,GM0274    ,Renkum,female,35-45,"Hbo-, wo-bachelor",D66
95,GM0361    ,Alkmaar,male,15-25,"Havo, vwo, mbo2-4",D66
96,GM0983    ,Venlo,male,35-45,Basisonderwijs,PVV
97,GM1674    ,Roosendaal,female,55-65,"Havo, vwo, mbo2-4",CDA
98,GM0537    ,Katwijk,male,15-25,"Hbo-, wo-master, doctor",D66
99,GM0080    ,Leeuwarden,female,15-25,Basisonderwijs,Did not vote
100,GM0772    ,Eindhoven,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
101,GM0074    ,Heerenveen,female,45-55,"Havo, vwo, mbo2-4",VVD
102,GM1714    ,Sluis,male,65-75,"Havo, vwo, mbo2-4",CDA
103,GM1774    ,Dinkelland,male,25-35,"Havo, vwo, mbo2-4",BBB
104,GM1982    ,Land van Cuijk,female,45-55,"Havo, vwo, mbo2-4",BBB
105,GM0150    ,Deventer,female,55-65,"Havo, vwo, mbo2-4",CDA
106,GM0405    ,Hoorn,female,65-75,"Havo, vwo, mbo2-4",50PLUS
107,GM0758    ,Breda,female,65-75,"Hbo-, wo-bachelor",CDA
108,GM0268    ,Nijmegen,female,55-65,"Hbo-, wo-master, doctor",D66
109,GM0935    ,Maastricht,male,25-35,Basisonderwijs,Did not vote
110,GM0363    ,Amsterdam,male,25-35,"Hbo-, wo-master, doctor",D66
111,GM0855    ,Tilburg,female,35-45,Basisonderwijs,PVV
112,GM0106    ,Assen,female,15-25,Basisonderwijs,Did not vote
113,GM0285    ,Voorst,male,15-25,"Havo, vwo, mbo2-4",BBB
114,GM0453    ,Velsen,female,55-65,"Havo, vwo, mbo2-4",VVD
115,GM0772    ,Eindhoven,male,45-55,"Hbo-, wo-bachelor",VVD
116,GM0269    ,Oldebroek,female,35-45,"Havo, vwo, mbo2-4",BBB
117,GM1507    ,Horst aan de Maas,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
118,GM0599    ,Rotterdam,female,15-25,"Havo, vwo, mbo2-4",GL-PvdA
119,GM0344    ,Utrecht (gemeente),female,65-75,"Hbo-, wo-master, doctor",D66
120,GM1896    ,Zwartewaterland,male,65-75,Basisonderwijs,50PLUS
121,GM0273    ,Putten,female,15-25,"Hbo-, wo-bachelor",D66
122,GM0014    ,Groningen (gemeente),male,45-55,"Hbo-, wo-bachelor",D66
123,GM0632    ,Woerden,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",PvdD
124,GM1979    ,Eemsdelta,male,55-65,"Hbo-, wo-bachelor",VVD
125,GM0074    ,Heerenveen,male,65-75,"Hbo-, wo-master, doctor",VVD
126,GM0150    ,Deventer,male,35-45,"Hbo-, wo-bachelor",D66
127,GM0118    ,Hoogeveen,male,25-35,"Havo, vwo, mbo2-4",BBB
128,GM0307    ,Amersfoort,male,55-65,Basisonderwijs,VVD
129,GM0090    ,Smallingerland,male,55-65,"Havo, vwo, mbo2-4",BBB
130,GM0392    ,Haarlem,male,45-55,"Hbo-, wo-master, doctor",D66
131,GM1963    ,Hoeksche Waard,female,45-55,"Havo, vwo, mbo2-4",BBB
132,GM0824    ,Oisterwijk,female,65-75,"Havo, vwo, mbo2-4",CDA
133,GM0828    ,Oss,male,15-25,"Havo, vwo, mbo2-4",VVD
134,GM0599    ,Rotterdam,male,15-25,"Havo, vwo, mbo2-4",D66
135,GM0363    ,Amsterdam,female,25-35,"Hbo-, wo-master, doctor",D66
136,GM0397    ,Heemstede,female,15-25,"Havo, vwo, mbo2-4",D66
137,GM0599    ,Rotterdam,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
138,GM0603    ,Rijswijk (ZH.),male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
139,GM1655    ,Halderberge,female,65-75,"Havo, vwo, mbo2-4",50PLUS
140,GM1581    ,Utrechtse Heuvelrug,female,55-65,Basisonderwijs,CDA
141,GM0344    ,Utrecht (gemeente),female,25-35,"Hbo-, wo-bachelor",D66
142,GM0153    ,Enschede,male,65-75,"Havo, vwo, mbo2-4",CDA
143,GM1705    ,Lingewaard,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
144,GM1963    ,Hoeksche Waard,female,15-25,"Havo, vwo, mbo2-4",BBB
145,GM0622    ,Vlaardingen,female,25-35,"Hbo-, wo-master, doctor",D66
146,GM1699    ,Noordenveld,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
147,GM0363    ,Amsterdam,male,65-75,"Hbo-, wo-master, doctor",D66
148,GM0355    ,Zeist,male,35-45,"Havo, vwo, mbo2-4",VVD
149,GM0748    ,Bergen op Zoom,male,65-75,"Hbo-, wo-bachelor",CDA
150,GM0861    ,Veldhoven,male,45-55,"Hbo-, wo-master, doctor",D66
151,GM0200    ,Apeldoorn,female,55-65,"Havo, vwo, mbo2-4",CDA
152,GM0532    ,Stede Broec,female,25-35,"Hbo-, wo-bachelor",D66
153,GM0285    ,Voorst,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
154,GM0518    ,'s-Gravenhage (gemeente),female,15-25,"Havo, vwo, mbo2-4",D66
155,GM0307    ,Amersfoort,female,35-45,Basisonderwijs,Did not vote
156,GM1952    ,Midden-Groningen,female,25-35,"Havo, vwo, mbo2-4",BBB
157,GM1900    ,Súdwest-Fryslân,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
158,GM0899    ,Brunssum,male,55-65,"Havo, vwo, mbo2-4",CDA
159,GM1883    ,Sittard-Geleen,female,45-55,"Havo, vwo, mbo2-4",CDA
160,GM0356    ,Nieuwegein,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
161,GM0394    ,Haarlemmermeer,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
162,GM0988    ,Weert,male,65-75,Basisonderwijs,CDA
163,GM0153    ,Enschede,male,15-25,"Havo, vwo, mbo2-4",D66
164,GM1924    ,Goeree-Overflakkee,female,45-55,"Hbo-, wo-bachelor",BBB
165,GM0599    ,Rotterdam,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
166,GM0153    ,Enschede,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
167,GM0603    ,Rijswijk (ZH.),female,65-75,Basisonderwijs,50PLUS
168,GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
169,GM0034    ,Almere,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
170,GM0873    ,Woensdrecht,female,25-35,"Havo, vwo, mbo2-4",BBB
171,GM0014    ,Groningen (gemeente),female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
172,GM0114    ,Emmen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
173,GM0383    ,Castricum,female,65-75,"Havo, vwo, mbo2-4",50PLUS
174,GM0267    ,Nijkerk,male,55-65,"Havo, vwo, mbo2-4",CDA
175,GM0180    ,Staphorst,female,55-65,"Havo, vwo, mbo2-4",CDA
176,GM0537    ,Katwijk,female,25-35,"Hbo-, wo-bachelor",D66
177,GM0362    ,Amstelveen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
178,GM0503    ,Delft,male,65-75,"Hbo-, wo-bachelor",50PLUS
179,GM1963    ,Hoeksche Waard,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
180,GM0344    ,Utrecht (gemeente),male,25-35,"Hbo-, wo-master, doctor",D66
181,GM0034    ,Almere,male,45-55,"Hbo-, wo-bachelor",VVD
182,GM0363    ,Amsterdam,male,15-25,"Hbo-, wo-bachelor",D66
183,GM0866    ,Waalre,male,55-65,"Hbo-, wo-bachelor",CDA
184,GM0307    ,Amersfoort,male,15-25,Basisonderwijs,Did not vote
185,GM0397    ,Heemstede,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
186,GM0796    ,'s-Hertogenbosch,female,35-45,Basisonderwijs,Did not vote
187,GM0166    ,Kampen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
188,GM0363    ,Amsterdam,female,25-35,"Havo, vwo, mbo2-4",D66
189,GM0575    ,Noordwijk,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
190,GM0034    ,Almere,male,25-35,"Havo, vwo, mbo2-4",D66
191,GM0344    ,Utrecht (gemeente),male,35-45,"Havo, vwo, mbo2-4",D66
192,GM0233    ,Ermelo,female,65-75,"Hbo-, wo-bachelor",CDA
193,GM0307    ,Amersfoort,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
194,GM0599    ,Rotterdam,female,45-55,"Havo, vwo, mbo2-4",50PLUS
195,GM1966    ,Het Hogeland,male,45-55,"Havo, vwo, mbo2-4",BBB
196,GM0397    ,Heemstede,female,65-75,"Hbo-, wo-master, doctor",D66
197,GM1948    ,Meierijstad,male,45-55,"Havo, vwo, mbo2-4",BBB
198,GM0163    ,Hellendoorn,female,45-55,"Havo, vwo, mbo2-4",50PLUS
199,GM0202    ,Arnhem,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
200,GM0356    ,Nieuwegein,female,15-25,"Havo, vwo, mbo2-4",D66
201,GM1507    ,Horst aan de Maas,male,45-55,"Hbo-, wo-master, doctor",D66
202,GM0489    ,Barendrecht,male,45-55,"Havo, vwo, mbo2-4",VVD
203,GM0513    ,Gouda,male,65-75,"Hbo-, wo-master, doctor",VVD
204,GM0275    ,Rheden,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
205,GM0222    ,Doetinchem,male,55-65,"Hbo-, wo-bachelor",VVD
206,GM0537    ,Katwijk,female,45-55,"Havo, vwo, mbo2-4",D66
207,GM0226    ,Duiven,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
208,GM0503    ,Delft,female,55-65,"Havo, vwo, mbo2-4",CDA
209,GM0268    ,Nijmegen,male,65-75,"Hbo-, wo-master, doctor",D66
210,GM0518    ,'s-Gravenhage (gemeente),male,15-25,"Hbo-, wo-bachelor",D66
211,GM1525    ,Teylingen,male,45-55,"Hbo-, wo-master, doctor",D66
212,GM0193    ,Zwolle,male,65-75,"Havo, vwo, mbo2-4",CDA
213,GM0917    ,Heerlen,male,15-25,Basisonderwijs,Did not vote
214,GM0363    ,Amsterdam,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",GL-PvdA
215,GM0177    ,Raalte,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
216,GM0748    ,Bergen op Zoom,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
217,GM0228    ,Ede,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
218,GM1884    ,Kaag en Braassem,male,45-55,"Havo, vwo, mbo2-4",VVD
219,GM1940    ,De Fryske Marren,female,45-55,"Hbo-, wo-master, doctor",D66
220,GM0355    ,Zeist,female,45-55,"Havo, vwo, mbo2-4",VVD
221,GM0718    ,Vlissingen,male,35-45,"Hbo-, wo-bachelor",VVD
222,GM0228    ,Ede,female,45-55,"Hbo-, wo-bachelor",D66
223,GM0855    ,Tilburg,female,25-35,Basisonderwijs,VVD
224,GM0114    ,Emmen,female,15-25,"Havo, vwo, mbo2-4",D66
225,GM0230    ,Elburg,male,55-65,Basisonderwijs,CDA
226,GM0405    ,Hoorn,male,35-45,"Havo, vwo, mbo2-4",VVD
227,GM0394    ,Haarlemmermeer,male,15-25,"Havo, vwo, mbo2-4",VVD
228,GM0232    ,Epe,female,65-75,"Havo, vwo, mbo2-4",CDA
229,GM0546    ,Leiden,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
230,GM0441    ,Schagen,male,45-55,"Havo, vwo, mbo2-4",VVD
231,GM0737    ,Tytsjerksteradiel,female,35-45,"Hbo-, wo-bachelor",D66
232,GM0547    ,Leiderdorp,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
233,GM0296    ,Wijchen,male,35-45,"Hbo-, wo-bachelor",D66
234,GM0518    ,'s-Gravenhage (gemeente),male,15-25,"Havo, vwo, mbo2-4",D66
235,GM0855    ,Tilburg,female,65-75,"Hbo-, wo-bachelor",CDA
236,GM0479    ,Zaanstad,female,55-65,"Hbo-, wo-bachelor",D66
237,GM0983    ,Venlo,male,55-65,"Havo, vwo, mbo2-4",VVD
238,GM0599    ,Rotterdam,male,25-35,"Hbo-, wo-master, doctor",D66
239,GM1729    ,Gulpen-Wittem,male,55-65,"Hbo-, wo-master, doctor",VVD
240,GM0758    ,Breda,male,55-65,"Hbo-, wo-master, doctor",D66
241,GM0599    ,Rotterdam,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
242,GM0957    ,Roermond,male,45-55,"Havo, vwo, mbo2-4",CDA
243,GM0935    ,Maastricht,female,45-55,Basisonderwijs,Did not vote
244,GM0758    ,Breda,female,35-45,"Havo, vwo, mbo2-4",D66
245,GM0984    ,Venray,male,35-45,Basisonderwijs,BBB
246,GM0664    ,Goes,female,35-45,"Havo, vwo, mbo2-4",D66
247,GM1901    ,Bodegraven-Reeuwijk,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
248,GM0840    ,Rucphen,male,25-35,"Havo, vwo, mbo2-4",BBB
249,GM0855    ,Tilburg,male,55-65,"Havo, vwo, mbo2-4",VVD
250,GM0200    ,Apeldoorn,male,55-65,"Havo, vwo, mbo2-4",VVD
251,GM1903    ,Eijsden-Margraten,male,55-65,"Havo, vwo, mbo2-4",CDA
252,GM0098    ,Weststellingwerf,female,55-65,"Havo, vwo, mbo2-4",CDA
253,GM0851    ,Steenbergen,female,15-25,"Hbo-, wo-bachelor",D66
254,GM0153    ,Enschede,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
255,GM0307    ,Amersfoort,male,25-35,"Havo, vwo, mbo2-4",D66
256,GM0772    ,Eindhoven,female,35-45,"Havo, vwo, mbo2-4",D66
257,GM0590    ,Papendrecht,female,35-45,"Havo, vwo, mbo2-4",VVD
258,GM1740    ,Neder-Betuwe,female,65-75,"Havo, vwo, mbo2-4",CDA
259,GM0268    ,Nijmegen,female,45-55,"Havo, vwo, mbo2-4",D66
260,GM0796    ,'s-Hertogenbosch,male,45-55,"Hbo-, wo-master, doctor",D66
261,GM1969    ,Westerkwartier,female,65-75,Basisonderwijs,CDA
262,GM0202    ,Arnhem,female,55-65,"Hbo-, wo-bachelor",D66
263,GM0627    ,Waddinxveen,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
264,GM0797    ,Heusden,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
265,GM1669    ,Roerdalen,male,45-55,"Havo, vwo, mbo2-4",BBB
266,GM0363    ,Amsterdam,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",SP
267,GM0385    ,Edam-Volendam,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
268,GM0518    ,'s-Gravenhage (gemeente),male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
269,GM0232    ,Epe,male,25-35,"Hbo-, wo-bachelor",D66
270,GM0703    ,Reimerswaal,male,45-55,"Havo, vwo, mbo2-4",BBB
271,GM0796    ,'s-Hertogenbosch,female,35-45,"Hbo-, wo-bachelor",CDA
272,GM0513    ,Gouda,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
273,GM0743    ,Asten,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
274,GM1930    ,Nissewaard,female,45-55,"Havo, vwo, mbo2-4",50PLUS
275,GM0344    ,Utrecht (gemeente),female,55-65,"Havo, vwo, mbo2-4",D66
276,GM1948    ,Meierijstad,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
277,GM1930    ,Nissewaard,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
278,GM1896    ,Zwartewaterland,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
279,GM0301    ,Zutphen,male,15-25,"Havo, vwo, mbo2-4",Did not vote
280,GM0189    ,Wierden,male,55-65,"Hbo-, wo-bachelor",VVD
281,GM0363    ,Amsterdam,male,55-65,"Hbo-, wo-bachelor",D66
282,GM0047    ,Veendam,male,65-75,Basisonderwijs,CDA
283,GM1892    ,Zuidplas,male,25-35,"Havo, vwo, mbo2-4",VVD
284,GM0518    ,'s-Gravenhage (gemeente),female,35-45,"Havo, vwo, mbo2-4",D66
285,GM0606    ,Schiedam,male,45-55,"Hbo-, wo-master, doctor",D66
286,GM1708    ,Steenwijkerland,female,25-35,"Havo, vwo, mbo2-4",PvdD
287,GM0627    ,Waddinxveen,male,25-35,"Havo, vwo, mbo2-4",VVD
288,GM0175    ,Ommen,female,65-75,"Hbo-, wo-master, doctor",CDA
289,GM0441    ,Schagen,male,55-65,"Havo, vwo, mbo2-4",CDA
290,GM0200    ,Apeldoorn,male,35-45,"Havo, vwo, mbo2-4",VVD
291,GM1659    ,Laarbeek,male,65-75,"Havo, vwo, mbo2-4",CDA
292,GM1970    ,Noardeast-Fryslân,female,25-35,Basisonderwijs,Did not vote
293,GM0147    ,Borne,female,55-65,"Havo, vwo, mbo2-4",50PLUS
294,GM0772    ,Eindhoven,male,65-75,"Havo, vwo, mbo2-4",CDA
295,GM0917    ,Heerlen,female,25-35,"Hbo-, wo-master, doctor",D66
296,GM0599    ,Rotterdam,female,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
297,GM0293    ,Westervoort,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
298,GM0406    ,Huizen,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
299,GM0268    ,Nijmegen,female,45-55,"Hbo-, wo-master, doctor",D66
300,GM0855    ,Tilburg,male,35-45,"Hbo-, wo-master, doctor",D66
301,GM0243    ,Harderwijk,female,45-55,"Havo, vwo, mbo2-4",CDA
302,GM0308    ,Baarn,male,25-35,"Hbo-, wo-master, doctor",D66
303,GM1952    ,Midden-Groningen,female,15-25,"Havo, vwo, mbo2-4",D66
304,GM1734    ,Overbetuwe,female,25-35,"Hbo-, wo-bachelor",D66
305,GM0363    ,Amsterdam,female,55-65,"Havo, vwo, mbo2-4",VVD
306,GM0518    ,'s-Gravenhage (gemeente),female,35-45,"Hbo-, wo-master, doctor",D66
307,GM0147    ,Borne,male,65-75,Basisonderwijs,CDA
308,GM1931    ,Krimpenerwaard,female,45-55,"Havo, vwo, mbo2-4",VVD
309,GM1930    ,Nissewaard,female,25-35,"Hbo-, wo-bachelor",D66
310,GM1992    ,Voorne aan Zee,female,65-75,"Havo, vwo, mbo2-4",50PLUS
311,GM0268    ,Nijmegen,female,15-25,"Hbo-, wo-bachelor",D66
312,GM0363    ,Amsterdam,male,35-45,"Havo, vwo, mbo2-4",D66
313,GM0400    ,Den Helder,female,25-35,"Havo, vwo, mbo2-4",D66
314,GM0202    ,Arnhem,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
315,GM0153    ,Enschede,female,55-65,"Hbo-, wo-master, doctor",D66
316,GM0503    ,Delft,male,15-25,"Hbo-, wo-bachelor",D66
317,GM1771    ,Geldrop-Mierlo,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
318,GM0737    ,Tytsjerksteradiel,female,15-25,"Havo, vwo, mbo2-4",FNP
